77,Nerve,LGF,38583626,2538,9445456,2538,27-Jul,
78,Risen,Sony,36880033,2915,11801271,2915,19-Feb,
79,The Nice Guys,WB,36261763,2865,11203270,2865,20-May,
80,The Boy (2016),STX,35819556,2671,10778392,2671,22-Jan,
81,Dirty Grandpa,LGF,35593113,2912,11111875,2912,22-Jan,
82,Ouija: Origin of Evil,Uni.,35144505,3168,14065500,3167,21-Oct,
83,The 5th Wave,Sony,34916787,2908,10326356,2908,22-Jan,
84,Inferno,Sony,34343574,3576,14860425,3576,28-Oct,
85,Mother's Day,ORF,32492859,3291,8369184,3035,29-Apr,
86,Patriots Day,LGF,31683784,3120,161306,7,21-Dec,
87,Gods of Egypt,LG/S,31153464,3117,14123903,3117,26-Feb,
88,Collateral Beauty,WB (NL),31016021,3028,7102085,3028,16-Dec,
89,Hail Caesar!,Uni.,30498085,2248,11355225,2232,5-Feb,
90,When the Bough Breaks,SGem,29747603,2246,14202323,2246,9-Sep,
91,Zoolander 2,Par.,28848693,3418,13841146,3394,12-Feb,
92,The Finest Hours,BV,27569558,3143,10288932,3143,29-Jan,
93,Florence Foster Jenkins,Par.,27383770,1528,6601313,1528,12-Aug,
94,Hell or High Water,LGF,27007844,1505,621329,32,12-Aug,
95,The Forest,Focus,26594261,2509,12741176,2451,8-Jan,
96,Ben-Hur (2016),Par.,26410477,3084,11203815,3084,19-Aug,
97,The Witch,A24,25138705,2204,8800230,2046,19-Feb,
98,Bridget Jones's Baby,Uni.,24252420,2930,8571785,2927,16-Sep,
99,Kevin Hart: What Now?,Uni.,23591043,2567,11767210,2567,14-Oct,
100,Whiskey Tango Foxtrot,Par.,23083334,2413,7450275,2374,4-Mar,
